date,averageprice,total_volume,4046,4225,4770,total_bags,small_bags,large bags,xl_bags,type,year,region,pct_chg_quantity,pct_chg_price,price_eod
2015-01-04,0.95,31324277.73,12357161.34,13624083.05,844093.32,4498940.02,3585321.58,894945.63,18672.81,conventional,2015,TotalUS,,,
2015-01-11,1.01,29063542.75,11544810.53,12134773.38,866574.66,4517384.18,3783261.16,718333.87,15789.15,conventional,2015,TotalUS,-0.072,0.063,-1.1428571428571428
2015-01-18,1.03,29043458.85,11858139.34,11701947.8,831301.9,4652069.81,3873041.26,771093.2,7935.35,conventional,2015,TotalUS,-0.001,0.02,-0.05
2015-01-25,1.04,28470310.84,12167445.03,10734652.82,768020.05,4800192.94,3978636.9,812924.73,8631.31,conventional,2015,TotalUS,-0.02,0.01,-2.0
2015-02-01,0.89,44655461.51,18933038.04,18956479.74,1381516.11,5384427.62,4216452.03,1121076.47,46899.12,conventional,2015,TotalUS,0.568,-0.144,-3.944444444444444
2015-02-08,0.95,32137333.01,13308193.4,13381347.54,737939.45,4709852.62,4022474.85,673453.54,13924.23,conventional,2015,TotalUS,-0.28,0.067,-4.179104477611941
2015-02-15,1.03,28012520.93,12626615.3,9783489.59,845653.52,4756762.52,4096226.46,648632.0,11904.06,conventional,2015,TotalUS,-0.128,0.084,-1.5238095238095237
2015-02-22,1.02,29936729.76,12628562.36,11354281.64,937138.85,5016746.91,4336247.12,667149.29,13350.5,conventional,2015,TotalUS,0.069,-0.01,-6.9
2015-03-01,0.97,32994014.16,13282222.98,13733124.48,1070576.07,4908090.63,4129138.63,725218.35,53733.65,conventional,2015,TotalUS,0.102,-0.049,-2.081632653061224
2015-03-08,1.02,30094698.85,13013750.35,10973972.6,834009.15,5272966.75,4583726.82,673149.42,16090.51,conventional,2015,TotalUS,-0.088,0.052,-1.6923076923076923
2015-03-15,1.04,29572225.71,13149988.71,10634070.76,871575.04,4916591.2,4287621.56,614904.92,14064.72,conventional,2015,TotalUS,-0.017,0.02,-0.8500000000000001
2015-03-22,1.01,32513550.51,13697405.61,12659784.83,1066385.92,5089974.15,4275071.46,762527.54,52375.15,conventional,2015,TotalUS,0.099,-0.029,-3.413793103448276
2015-03-29,1.04,29982648.43,12524637.04,11541041.35,811272.88,5105697.16,4487886.76,610349.2,7461.2,conventional,2015,TotalUS,-0.078,0.03,-2.6
2015-04-05,1.06,31500669.44,13939014.43,11526980.36,871981.29,5162693.36,4477299.71,666514.74,18878.91,conventional,2015,TotalUS,0.051,0.019,2.6842105263157894
